Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 13:09:29,05-03-2024 13:09:29,0.544s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""0"")",Chrome 122.0.0.0,,,05-03-2024 13:09:29,05-03-2024 13:09:30,0.534s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 13:09:30,05-03-2024 13:09:30,0.287s,PASSED
"verifyTextPresent(""Customer Detail Form"", false)",Chrome 122.0.0.0,,,05-03-2024 13:09:30,05-03-2024 13:09:30,0.243s,PASSED
"takeFullPageScreenshot(""Pic/pic8.png"")",Chrome 122.0.0.0,,,05-03-2024 13:09:30,05-03-2024 13:09:31,0.325s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 13:09:31,05-03-2024 13:09:31,0.138s,PASSED
,,,,,,,
Test Cases/Test9,Chrome 122.0.0.0,,,05-03-2024 13:09:31,05-03-2024 13:09:35,3.746s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 13:09:31,05-03-2024 13:09:31,0.546s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 13:09:31,05-03-2024 13:09:32,0.158s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 13:09:32,05-03-2024 13:09:32,0.780s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 13:09:32,05-03-2024 13:09:33,0.538s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""151"")",Chrome 122.0.0.0,,,05-03-2024 13:09:33,05-03-2024 13:09:33,0.531s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 13:09:33,05-03-2024 13:09:34,0.285s,PASSED
"verifyTextPresent(""Customer Detail Form"", false)",Chrome 122.0.0.0,,,05-03-2024 13:09:34,05-03-2024 13:09:34,0.248s,PASSED
"takeFullPageScreenshot(""Pic/pic9.png"")",Chrome 122.0.0.0,,,05-03-2024 13:09:34,05-03-2024 13:09:34,0.322s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 13:09:34,05-03-2024 13:09:35,0.281s,PASSED
